queue_rank,action_rank,tie_review_rank,needs_variant_review,missing_requirement_count,queue_priority_reason,job_doc_id,job_company,job_title,action,action_rationale,winner_resume,winner_score,winner_bucket,is_tie,tie_epsilon,runner_up_resume,runner_up_score,score_gap,passed_prefilter,filtered_out,winner_top_dims,winner_missing_requirements,winner_matched_terms,recommendation_summary
30,3,2,False,1,Low-priority hold.,https://www.weareroku.com/jobs/7684468?gh_jid=7684468,roku,"Senior Machine Learning Engineer, Platform",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",aws,machine learning engineer,"No credible resume match: all resume variants failed deterministic prefilter for roku | Senior Machine Learning Engineer, Platform. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer Main remaining gaps: aws"
31,3,2,False,2,Low-priority hold.,https://jobs.dropbox.com/listing/7680911?gh_jid=7680911,dropbox,"Senior Data Scientist, Marketing",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",large unstructured datasets | multivariate experiments,Data Scientist II | sql | machine learning | python | r,"No credible resume match: all resume variants failed deterministic prefilter for dropbox | Senior Data Scientist, Marketing. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: Data Scientist II, sql, machine learning, python, r Main remaining gaps: large unstructured datasets, multivariate experiments"
32,3,2,False,2,Low-priority hold.,https://boards.greenhouse.io/geniussports/jobs/7621212003?gh_jid=7621212003,geniussports,Senior Applied AI Engineer,SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",java | rust,python,"No credible resume match: all resume variants failed deterministic prefilter for geniussports | Senior Applied AI Engineer. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: python Main remaining gaps: java, rust"
33,3,2,False,2,Low-priority hold.,https://stripe.com/jobs/search?gh_jid=7629052,stripe,"Machine Learning Engineer, Stripe Assistant",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",distributed systems | ruby,machine learning engineer | python,"No credible resume match: all resume variants failed deterministic prefilter for stripe | Machine Learning Engineer, Stripe Assistant. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer, python Main remaining gaps: distributed systems, ruby"
34,3,2,False,3,Low-priority hold.,https://job-boards.greenhouse.io/doordashusa/jobs/7580407,doordashusa,"Machine Learning Engineer, Marketplace Optimization",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",experimentation science | lift tests | marketplace incrementality,machine learning engineer | forecasting | python | pytorch,"No credible resume match: all resume variants failed deterministic prefilter for doordashusa | Machine Learning Engineer, Marketplace Optimization. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer, forecasting, python, pytorch Main remaining gaps: experimentation science, lift tests, marketplace incrementality"
35,3,2,False,3,Low-priority hold.,https://job-boards.greenhouse.io/doordashusa/jobs/7657542,doordashusa,"Machine Learning Engineer, Reinforcement Learning",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",causal inference | experimentation techniques | production-level machine learning,machine learning engineer | machine learning | python | statistics,"No credible resume match: all resume variants failed deterministic prefilter for doordashusa | Machine Learning Engineer, Reinforcement Learning. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer, machine learning, python, statistics Main remaining gaps: causal inference, experimentation techniques, production-level machine learning"
36,3,2,False,4,Low-priority hold.,https://www.weareroku.com/jobs/7326808?gh_jid=7326808,roku,Research Data Scientist,SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",data engineering | experimentation | statistical methods | statistical modeling,Data Scientist II | a/b testing | machine learning,"No credible resume match: all resume variants failed deterministic prefilter for roku | Research Data Scientist. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: Data Scientist II, a/b testing, machine learning Main remaining gaps: data engineering, experimentation, statistical methods, statistical modeling"
37,3,2,False,5,Low-priority hold.,https://job-boards.greenhouse.io/gitlab/jobs/8452278002,gitlab,"Senior Fullstack Engineer (TypeScript), AI Engineering: Editor Extensions",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",gitlab duo cli | gitlab language server | kotlin | typescript | vue,,"No credible resume match: all resume variants failed deterministic prefilter for gitlab | Senior Fullstack Engineer (TypeScript), AI Engineering: Editor Extensions. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Main remaining gaps: gitlab duo cli, gitlab language server, kotlin, typescript, vue"
38,3,2,False,7,Low-priority hold.,https://jobs.hunterdouglas.com/division/hunterdouglas/job/7662150003?gh_jid=7662150003,hunterdouglas,Master Data Analyst,SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",data governance | data management | erp | operations | sap | sap mdg | supply chain,Data Analyst II,"No credible resume match: all resume variants failed deterministic prefilter for hunterdouglas | Master Data Analyst. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: Data Analyst II Main remaining gaps: data governance, data management, erp, operations, sap, sap mdg"
39,3,2,False,10,Low-priority hold.,https://job-boards.greenhouse.io/doordashusa/jobs/6333591,doordashusa,"Machine Learning Engineer, Computer Vision",SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",attribute extraction | category classification | causal inference | entity recognition | entity resolution | experimentation techniques | image classification | metric learning | object detection | segmentation,machine learning engineer | machine learning | python | spark,"No credible resume match: all resume variants failed deterministic prefilter for doordashusa | Machine Learning Engineer, Computer Vision. Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: machine learning engineer, machine learning, python, spark Main remaining gaps: attribute extraction, category classification, causal inference, entity recognition, entity resolution, experimentation techniques"
40,3,2,False,15,Low-priority hold.,https://job-boards.eu.greenhouse.io/cognite/jobs/4773959101,cognite,Senior Field AI Engineer (Forward Deployed),SKIP_FOR_NOW,No credible deterministic resume match; all resume variants failed prefilter.,,0.000000,filtered_out,False,0.010000,,,,0,14,"analytics_ml_depth=0.00/0.000, domain_relevance=0.00/0.000, experimentation_depth=0.00/0.000, preferred_skills_alignment=0.00/0.000, project_relevance=0.00/0.000",agentic artificial intelligence | cloud platforms | cognite atlas artificial intelligence | cognite data fusion | enterprise saas | forward deployed engineering | full-stack solution engineering | genai components | industrial architecture expertise | industrial software companies | legacy customer systems | open-source artificial intelligence frameworks | pre-sales engineering | scalable software practices | technical software development,python | machine learning,"No credible resume match: all resume variants failed deterministic prefilter for cognite | Senior Field AI Engineer (Forward Deployed). Closest diagnostic variant by deterministic ordering: Neelakantan_SriramHariharan_Resume_MLE_v3.pdf (score 0.000). Strongest matched terms: python, machine learning Main remaining gaps: agentic artificial intelligence, cloud platforms, cognite atlas artificial intelligence, cognite data fusion, enterprise saas, forward deployed engineering"
